City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bilma,NE,89.91,clear sky,18.69,12.92,Expeditions Ténére voyages
5,Kipini,KE,79.12,clear sky,-2.53,40.53,Tana River Lodge
7,Talisayan,PH,77.38,overcast clouds,6.99,121.93,Mar y Monte Resort
8,Bandarbeyla,SO,79.45,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
10,Atuona,PF,77.94,scattered clouds,-9.8,-139.03,Villa Enata
13,Karratha,AU,80.37,clear sky,-20.74,116.85,ibis Styles Karratha
16,Bengkulu,ID,76.19,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
17,Hilo,US,82.4,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
21,Kapaa,US,81.0,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
23,Mercedes,AR,82.99,broken clouds,-34.65,-59.43,Posada del Inti Centro
24,Abu Dhabi,AE,84.2,clear sky,24.47,54.37,Beach Rotana
25,Bernal,PE,79.14,clear sky,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
26,Gat,IL,77.0,few clouds,31.61,34.76,OlusHome
27,Mount Isa,AU,75.2,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
28,Butaritari,KI,81.9,light rain,3.07,172.79,Isles Sunset Lodge
32,Itarema,BR,81.63,broken clouds,-2.92,-39.92,Windvillage
33,Castro,BR,76.62,overcast clouds,-24.79,-50.01,CHACARA BAILLY
42,Kamakwie,SL,76.82,light rain,9.5,-12.23,
44,Alexandria,EG,77.0,broken clouds,31.22,29.96,Royal Crown Hotel
47,Victoria,HK,78.01,overcast clouds,22.29,114.16,Mini Hotel Central
49,Casimiro De Abreu,BR,78.8,scattered clouds,-22.48,-42.2,MIRANTE DO POETA Hotel Fazenda
50,Hithadhoo,MV,82.74,few clouds,-0.6,73.08,Scoop Guest House
52,Ipixuna,BR,78.8,moderate rain,-1.76,-48.8,Casa da Oscarina
53,Malindi,KE,78.8,few clouds,-3.22,40.12,African House Resort
60,Mamallapuram,IN,80.6,scattered clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
61,Dawei,MM,75.04,clear sky,14.08,98.2,Hotel Dawei
67,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
73,Mecca,SA,77.76,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
76,Bathsheba,BB,86.0,shower rain,13.22,-59.52,Atlantis Hotel
82,Carlagan,PH,80.69,overcast clouds,14.97,122.05,
83,Saint-Philippe,RE,75.2,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
93,Arraial Do Cabo,BR,78.8,scattered clouds,-22.97,-42.03,Pousada Porto Praia
95,Banda Aceh,ID,81.52,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
107,Saint-Pierre,RE,75.2,overcast clouds,-21.34,55.48,Lindsey Hôtel
108,Akyab,MM,80.4,overcast clouds,20.15,92.9,Hotel Memory
110,Nioro,GM,81.97,clear sky,13.35,-15.75,
114,Altamira,BR,81.73,light rain,-3.2,-52.21,Requinte Hotel
126,Prado,BR,76.59,broken clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
133,Harper,LR,76.73,light rain,4.38,-7.72,Screensaver
135,San Ignacio,BZ,87.8,scattered clouds,17.16,-89.07,Rainforest Haven Inn
138,Katobu,ID,75.58,overcast clouds,-4.94,122.53,La Ode Husein
145,Faanui,PF,78.44,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
147,Ocho Rios,JM,87.01,scattered clouds,18.4,-77.1,Rooms Ocho Rios Hotel
148,Roura,GF,87.8,clear sky,4.73,-52.33,Amazonie Découverte SARL
149,Cedar City,US,75.2,clear sky,37.68,-113.06,Hampton Inn Cedar City
152,Tual,ID,81.34,overcast clouds,-5.67,132.75,Grand Vilia Hotel
153,Kieta,PG,78.98,overcast clouds,-6.22,155.63,
155,Salinas,US,87.01,clear sky,36.68,-121.66,Good Nite Inn Salinas Monterey
159,Vila Velha,BR,84.2,few clouds,-20.33,-40.29,Hotel Vitória Palace
160,Nouadhibou,MR,77.0,light rain,20.93,-17.03,El Medina
163,Lazaro Cardenas,MX,86.27,few clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
165,Phan Thiet,VN,77.31,overcast clouds,10.93,108.1,Hotel Saigon-PT
167,Touros,BR,82.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
173,Khartoum,SD,90.0,scattered clouds,15.55,32.53,Hotel China
175,Puerto Baquerizo Moreno,EC,75.2,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
180,Kahului,US,86.0,clear sky,20.89,-156.47,Maui Seaside Hotel
185,Sinnamary,GF,84.45,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
187,Kavieng,PG,80.73,few clouds,-2.57,150.8,Nusa Island Retreat
190,Aripuana,BR,89.78,overcast clouds,-9.17,-60.63,
191,Bima,ID,76.55,scattered clouds,-8.47,118.72,Lambitu Hotel
194,Grinnell,US,77.0,clear sky,41.74,-92.72,"Country Inn & Suites by Radisson, Grinnell, IA"
195,Omboue,GA,75.78,overcast clouds,-1.57,9.26,Hotel Olako
206,Laguna,US,89.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
207,Acapulco,MX,87.8,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
209,Pacific Grove,US,87.01,clear sky,36.62,-121.92,Lovers Point Inn
211,Hobyo,SO,80.06,light rain,5.35,48.53,Osmani Hotel
216,Manavalakurichi,IN,80.6,mist,8.13,77.3,Udaya Boys Hostel
217,Satipo,PE,88.57,light rain,-11.25,-74.64,Hotel Mayros
219,Shakawe,BW,76.15,scattered clouds,-18.37,21.85,Ditlhapi Guest House
223,San Quintin,MX,84.18,clear sky,30.48,-115.95,Old Mill Hotel
225,Murray Bridge,AU,75.0,overcast clouds,-35.12,139.27,Balcony On Sixth Lodge
230,Bouna,CI,76.75,overcast clouds,9.27,-3.0,Hotel Reserve
231,Cockburn Town,TC,83.75,few clouds,21.46,-71.14,Osprey Beach Hotel
