City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0,-57.56,57.2,47,0,21.92,clear sky
1,Bilma,NE,18.69,12.92,89.91,13,0,7.65,clear sky
2,Mehamn,NO,71.04,27.85,37.4,77,40,12.75,scattered clouds
3,Zhangye,CN,38.93,100.45,40.8,57,0,1.34,clear sky
4,Bluff,NZ,-46.6,168.33,39.0,93,0,1.99,clear sky
5,Kipini,KE,-2.53,40.53,79.12,80,1,13.8,clear sky
6,Jamestown,US,42.1,-79.24,61.0,36,1,6.93,clear sky
7,Talisayan,PH,6.99,121.93,77.38,87,100,7.81,overcast clouds
8,Bandarbeyla,SO,9.49,50.81,79.45,85,98,13.65,overcast clouds
9,New Norfolk,AU,-42.78,147.06,51.01,77,100,3.2,moderate rain
10,Atuona,PF,-9.8,-139.03,77.94,73,25,21.99,scattered clouds
11,Kutahya,TR,39.42,29.98,59.0,71,40,5.82,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,48.2,57,40,12.75,scattered clouds
13,Karratha,AU,-20.74,116.85,80.37,31,0,11.83,clear sky
14,Thompson,CA,55.74,-97.86,32.0,90,90,17.22,light shower snow
15,Columbus,US,39.96,-83.0,73.4,40,75,11.41,broken clouds
16,Bengkulu,ID,-3.8,102.27,76.19,87,100,3.62,overcast clouds
17,Hilo,US,19.73,-155.09,82.4,54,1,6.78,clear sky
18,Ucluelet,CA,48.93,-125.55,55.4,76,75,8.05,broken clouds
19,Ribeira Grande,PT,38.52,-28.7,69.8,83,20,5.82,few clouds
20,Eidsvag,NO,62.78,8.07,44.6,70,75,5.82,broken clouds
21,Kapaa,US,22.08,-159.32,81.0,74,1,3.38,clear sky
22,Taltal,CL,-25.4,-70.48,65.53,54,22,7.7,few clouds
23,Mercedes,AR,-34.65,-59.43,82.99,41,75,3.0,broken clouds
24,Abu Dhabi,AE,24.47,54.37,84.2,58,0,3.36,clear sky
25,Bernal,PE,-5.45,-80.75,79.14,51,8,15.12,clear sky
26,Gat,IL,31.61,34.76,77.0,73,20,3.36,few clouds
27,Mount Isa,AU,-20.73,139.5,75.2,44,40,10.29,scattered clouds
28,Butaritari,KI,3.07,172.79,81.9,76,100,11.54,light rain
29,Sitka,US,57.05,-135.33,46.4,87,75,2.93,light rain
30,Okato,NZ,-39.2,173.88,45.0,79,55,23.0,broken clouds
31,Leningradskiy,RU,69.38,178.42,30.61,93,100,9.62,overcast clouds
32,Itarema,BR,-2.92,-39.92,81.63,70,77,18.59,broken clouds
33,Castro,BR,-24.79,-50.01,76.62,55,100,2.57,overcast clouds
34,Hailar,CN,49.2,119.7,25.48,84,0,6.73,clear sky
35,Yurimaguas,PE,-5.9,-76.08,91.4,63,20,8.05,few clouds
36,Albany,US,42.6,-73.97,66.99,36,1,7.96,clear sky
37,Busselton,AU,-33.65,115.33,52.0,96,0,10.47,clear sky
38,Mataura,NZ,-46.19,168.86,39.0,93,0,1.99,clear sky
39,Vostok,RU,46.49,135.88,19.83,97,50,5.48,scattered clouds
40,Pisco,PE,-13.7,-76.22,66.99,77,20,10.29,few clouds
41,Ust-Tsilma,RU,65.44,52.15,31.48,98,44,4.23,scattered clouds
42,Kamakwie,SL,9.5,-12.23,76.82,89,100,2.44,light rain
43,Khatanga,RU,71.97,102.5,26.06,98,100,10.76,light snow
44,Alexandria,EG,31.22,29.96,77.0,73,59,8.05,broken clouds
45,Nome,US,64.5,-165.41,26.6,68,75,4.7,broken clouds
46,Hobart,AU,-42.88,147.33,57.2,71,75,13.87,shower rain
47,Victoria,HK,22.29,114.16,78.01,79,89,1.99,overcast clouds
48,Bredasdorp,ZA,-34.53,20.04,57.2,87,0,1.12,clear sky
49,Casimiro De Abreu,BR,-22.48,-42.2,78.8,74,25,8.05,scattered clouds
50,Hithadhoo,MV,-0.6,73.08,82.74,76,24,13.47,few clouds
51,Rantepao,ID,-2.97,119.9,66.51,87,100,2.04,light rain
52,Ipixuna,BR,-1.76,-48.8,78.8,83,75,10.29,moderate rain
53,Malindi,KE,-3.22,40.12,78.8,88,20,13.87,few clouds
54,Bambous Virieux,MU,-20.34,57.76,73.99,83,20,5.82,few clouds
55,Mahebourg,MU,-20.41,57.7,73.4,83,20,5.82,few clouds
56,Port Alfred,ZA,-33.59,26.89,61.41,78,0,18.66,clear sky
57,Juli,PE,-16.22,-69.45,50.95,53,59,10.89,light rain
58,Lavrentiya,RU,65.58,-171.0,31.24,91,98,9.73,overcast clouds
59,Rikitea,PF,-23.12,-134.97,73.63,80,27,19.46,scattered clouds
60,Mamallapuram,IN,12.63,80.17,80.6,69,40,3.36,scattered clouds
61,Dawei,MM,14.08,98.2,75.04,90,2,1.79,clear sky
62,Moncton,CA,46.12,-64.8,62.6,93,75,14.99,broken clouds
63,Tasiilaq,GL,65.61,-37.64,29.26,95,97,2.62,overcast clouds
64,Yellowknife,CA,62.46,-114.35,26.01,68,90,23.04,light snow
65,Upernavik,GL,72.79,-56.15,33.42,86,15,5.75,few clouds
66,Yumen,CN,40.28,97.2,32.11,80,0,3.89,clear sky
67,Puerto Ayora,EC,-0.74,-90.35,77.0,73,75,8.05,broken clouds
68,Chokurdakh,RU,70.63,147.92,19.83,98,92,2.28,overcast clouds
69,Uspenka,UA,48.39,39.16,60.64,66,2,3.47,clear sky
70,Kurilsk,RU,45.23,147.88,47.77,65,25,19.82,scattered clouds
71,Novosokolniki,RU,56.35,30.16,54.34,96,95,6.22,overcast clouds
72,Mporokoso,ZM,-9.37,30.12,70.36,60,2,6.29,clear sky
73,Mecca,SA,21.43,39.83,77.76,29,0,0.85,clear sky
74,Cape Town,ZA,-33.93,18.42,60.01,87,0,5.82,clear sky
75,Pangnirtung,CA,66.15,-65.71,37.4,51,75,14.99,broken clouds
76,Bathsheba,BB,13.22,-59.52,86.0,74,75,9.17,shower rain
77,Ostrovnoy,RU,68.05,39.51,34.84,89,100,9.31,overcast clouds
